A,B,C,D,E,F,G
G,U_oAo12,962,PLENQJDDYZULYKA,4936,198,UHNHONUHHZTFLGT
H,O_Um421,47,GVWFISHPCDXNRVU,4931,208,DPQLFVEHBGGKXGX
B,T_Fe134,96,TDGZPEQTLFGJQCV,2352,210,LCZQWSYFTCTBQUI
F,T_xEfV1,785,RPCNHBECGNSCRLO,2406,174,JIBGCETMMPEQHUC
E,K_12M34,758,CDSHIUCJMSVSCEJ,3541,197,BNSCSXOJWAFTTVS
C,X_MM42e,729,LJGOQBMPLTAWZHD,1089,208,DPQLFVEHBGGKXGX
H,O_Um421,49,CPIEOLOBXRARHBO,3806,121,WWICVCDUHUKZAWN
D,Y_A13Fm,712,IKOPSJGARBTCQLY,4533,215,QWJKGTTBATEWAHN
B,T_Fe134,492,FBBYTXBZSXXEFLG,1598,179,PKOSWZVLMXMTLZW
E,K_12M34,138,WWWKZNUKKOCVLDA,2550,162,KAQZSSKPPWRORYW
G,U_oAo12,842,GSZBCXTCEOPTAFO,3014,149,BGRMWMMUMEFOBGL
E,K_12M34,729,LJGOQBMPLTAWZHD,3753,149,BGRMWMMUMEFOBGL
D,Y_A13Fm,838,ZLOCESNXHIZOOUL,3699,162,KAQZSSKPPWRORYW
E,K_12M34,674,AFNIOPRUNAKVQOO,3837,181,CBKMUWJEKWNROTY
G,U_oAo12,149,LFUFLBFHQUOERLG,1374,181,CBKMUWJEKWNROTY
C,X_MM42e,431,PGRSPDOMBBGLRYP,4841,162,KAQZSSKPPWRORYW
G,U_oAo12,84,HLLIUTIMRUMRQDK,4904,174,JIBGCETMMPEQHUC
H,O_Um421,377,UHIWXYBDZCQDMBW,4353,181,CBKMUWJEKWNROTY
F,T_xEfV1,582,VIYZJRMURLLANOL,3930,179,PKOSWZVLMXMTLZW
B,T_Fe134,368,HXUBRLHKGOBUJKR,4915,215,QWJKGTTBATEWAHN
A,X_10fMM,940,XQCNPCOHYWSQVFY,2621,112,INOMZYINCCISUCQ
F,T_xEfV1,289,QRSBLITQOKOCXNM,4440,208,DPQLFVEHBGGKXGX
A,X_10fMM,473,RJWQPBLKMLUAIMZ,1413,210,LCZQWSYFTCTBQUI
B,T_Fe134,91,RALPDQBXBDJTNPW,3190,162,KAQZSSKPPWRORYW
E,K_12M34,159,KBCJRMNZUDVGIQH,1473,210,LCZQWSYFTCTBQUI
H,O_Um421,47,GVWFISHPCDXNRVU,4517,179,PKOSWZVLMXMTLZW
A,X_10fMM,100,KHVFQKBBTJPBMQP,3040,171,WOTRJPNMGQSJCKW
F,T_xEfV1,16,KAMABLMDNQXPNDU,2787,171,WOTRJPNMGQSJCKW
K,R_NFT36,81,ODZTDFJYPUEVZXZ,4746,197,BNSCSXOJWAFTTVS
B,T_Fe134,163,WJEQCQKJKVCRYMJ,4179,209,OXMMZOZDYYWVGJG
B,T_Fe134,852,WJILXXFLHVEIIVG,2280,171,WOTRJPNMGQSJCKW
C,X_MM42e,672,LTFQSCEYRBVKUAP,2309,153,OLNSTYUIIIGYSSL
K,R_NFT36,142,XVRRJLDRBCRUBVU,3161,149,BGRMWMMUMEFOBGL
H,O_Um421,213,AZVXUIYPGMHNZXJ,1982,181,CBKMUWJEKWNROTY
H,O_Um421,582,VIYZJRMURLLANOL,2477,208,DPQLFVEHBGGKXGX
A,X_10fMM,240,CFSPXFBIYSITKUE,2489,153,OLNSTYUIIIGYSSL
H,O_Um421,952,VURNASZCCMBGFMH,3494,112,INOMZYINCCISUCQ
A,X_10fMM,729,LJGOQBMPLTAWZHD,1616,121,WWICVCDUHUKZAWN
F,T_xEfV1,81,ODZTDFJYPUEVZXZ,1414,208,DPQLFVEHBGGKXGX
F,T_xEfV1,785,RPCNHBECGNSCRLO,4038,198,UHNHONUHHZTFLGT
H,O_Um421,441,IYRXKIAZTRFRADI,4426,181,CBKMUWJEKWNROTY
K,R_NFT36,606,RRRGXLFJSGOHCYW,1437,181,CBKMUWJEKWNROTY
H,O_Um421,838,ZLOCESNXHIZOOUL,3387,174,JIBGCETMMPEQHUC
D,Y_A13Fm,929,MZZSOCSUGSTUXPF,3396,121,WWICVCDUHUKZAWN
F,T_xEfV1,672,LTFQSCEYRBVKUAP,2816,181,CBKMUWJEKWNROTY
F,T_xEfV1,213,AZVXUIYPGMHNZXJ,1988,197,BNSCSXOJWAFTTVS
K,R_NFT36,458,DZGZSRGUYGDHDIX,2441,181,CBKMUWJEKWNROTY
G,U_oAo12,60,QEBBIPDXWRCHGSK,2976,209,OXMMZOZDYYWVGJG
H,O_Um421,583,QDMHXFMKFQWMNUF,2318,171,WOTRJPNMGQSJCKW
G,U_oAo12,515,JHSFUSBMABVPPJH,1046,112,INOMZYINCCISUCQ
H,O_Um421,14,OOMARJWTOWJFXLM,1173,197,BNSCSXOJWAFTTVS
B,T_Fe134,697,GHVMMFKKKMDGWBO,4851,149,BGRMWMMUMEFOBGL
H,O_Um421,798,USPSEOSELIAAPUD,3278,197,BNSCSXOJWAFTTVS
F,T_xEfV1,142,XVRRJLDRBCRUBVU,1389,171,WOTRJPNMGQSJCKW
B,T_Fe134,674,AFNIOPRUNAKVQOO,1542,181,CBKMUWJEKWNROTY
K,R_NFT36,606,RRRGXLFJSGOHCYW,3663,174,JIBGCETMMPEQHUC
D,Y_A13Fm,583,QDMHXFMKFQWMNUF,3324,162,KAQZSSKPPWRORYW
C,X_MM42e,47,GVWFISHPCDXNRVU,4235,171,WOTRJPNMGQSJCKW
B,T_Fe134,650,UWIGXJDOHPGZKOC,2847,209,OXMMZOZDYYWVGJG
K,R_NFT36,697,GHVMMFKKKMDGWBO,2029,149,BGRMWMMUMEFOBGL
A,X_10fMM,377,UHIWXYBDZCQDMBW,4505,121,WWICVCDUHUKZAWN
D,Y_A13Fm,729,LJGOQBMPLTAWZHD,1151,198,UHNHONUHHZTFLGT
F,T_xEfV1,697,GHVMMFKKKMDGWBO,2316,121,WWICVCDUHUKZAWN
F,T_xEfV1,148,NOCWJPTSKUMKXVK,4016,215,QWJKGTTBATEWAHN
C,X_MM42e,863,YEESBRKROXSGSQS,4421,153,OLNSTYUIIIGYSSL
G,U_oAo12,967,SHRIEJKCRXAXKPY,4904,215,QWJKGTTBATEWAHN
C,X_MM42e,136,ABVXFPLEMVOTBRQ,2784,171,WOTRJPNMGQSJCKW
B,T_Fe134,64,WWDVEEYMDMTQDAH,2901,179,PKOSWZVLMXMTLZW
C,X_MM42e,27,FCHGPOTLBXXKTOB,2059,208,DPQLFVEHBGGKXGX
K,R_NFT36,35,PSSVRABNAOGNKCP,4774,209,OXMMZOZDYYWVGJG
F,T_xEfV1,672,LTFQSCEYRBVKUAP,4051,174,JIBGCETMMPEQHUC
K,R_NFT36,200,MLDOIVPFVDRVMRR,4787,149,BGRMWMMUMEFOBGL
A,X_10fMM,550,JHDHDSBRIXPFYZF,4078,197,BNSCSXOJWAFTTVS
D,Y_A13Fm,337,GWZQDWLWEPCDWMX,1548,112,INOMZYINCCISUCQ
A,X_10fMM,142,XVRRJLDRBCRUBVU,1583,210,LCZQWSYFTCTBQUI
A,X_10fMM,492,FBBYTXBZSXXEFLG,3843,149,BGRMWMMUMEFOBGL
C,X_MM42e,669,NOQPNJDENANCVAR,1524,162,KAQZSSKPPWRORYW
H,O_Um421,81,ODZTDFJYPUEVZXZ,1289,171,WOTRJPNMGQSJCKW
D,Y_A13Fm,492,FBBYTXBZSXXEFLG,1230,198,UHNHONUHHZTFLGT
B,T_Fe134,38,IORHSTMRDEJEBPU,4275,153,OLNSTYUIIIGYSSL
H,O_Um421,502,UYCUSOYWJOOGNSE,2270,208,DPQLFVEHBGGKXGX
E,K_12M34,458,DZGZSRGUYGDHDIX,1218,215,QWJKGTTBATEWAHN
G,U_oAo12,443,LLWUUQCYEXLUAIB,3826,215,QWJKGTTBATEWAHN
H,O_Um421,669,NOQPNJDENANCVAR,4975,210,LCZQWSYFTCTBQUI
E,K_12M34,725,PXGPTCHULHWPELF,3396,197,BNSCSXOJWAFTTVS
G,U_oAo12,502,UYCUSOYWJOOGNSE,3606,174,JIBGCETMMPEQHUC
C,X_MM42e,16,KAMABLMDNQXPNDU,3533,179,PKOSWZVLMXMTLZW
B,T_Fe134,546,AASZXWXFJTNTKNX,1375,198,UHNHONUHHZTFLGT
C,X_MM42e,827,HBCWMFSNHTNNSOF,2906,149,BGRMWMMUMEFOBGL
C,X_MM42e,138,WWWKZNUKKOCVLDA,2883,215,QWJKGTTBATEWAHN
A,X_10fMM,889,GMPOFQSNXAFECJD,2434,112,INOMZYINCCISUCQ
C,X_MM42e,546,AASZXWXFJTNTKNX,1388,179,PKOSWZVLMXMTLZW
F,T_xEfV1,385,NHYVTTIDXFYADCF,3004,215,QWJKGTTBATEWAHN
D,Y_A13Fm,200,MLDOIVPFVDRVMRR,2215,209,OXMMZOZDYYWVGJG
H,O_Um421,384,NDGVSOYSBRMIQLD,3211,171,WOTRJPNMGQSJCKW
A,X_10fMM,16,KAMABLMDNQXPNDU,3394,174,JIBGCETMMPEQHUC
C,X_MM42e,289,QRSBLITQOKOCXNM,1227,215,QWJKGTTBATEWAHN
D,Y_A13Fm,390,CHVNCVKDEMWMRPE,4384,208,DPQLFVEHBGGKXGX
D,Y_A13Fm,149,LFUFLBFHQUOERLG,1731,121,WWICVCDUHUKZAWN
C,X_MM42e,384,NDGVSOYSBRMIQLD,3760,215,QWJKGTTBATEWAHN
B,T_Fe134,125,RVFYFMPWBZNWCQK,1197,210,LCZQWSYFTCTBQUI
G,U_oAo12,518,FOLRHQUMXSELBYM,4739,174,JIBGCETMMPEQHUC
A,X_10fMM,125,RVFYFMPWBZNWCQK,4072,174,JIBGCETMMPEQHUC
H,O_Um421,81,ODZTDFJYPUEVZXZ,4910,149,BGRMWMMUMEFOBGL
D,Y_A13Fm,863,YEESBRKROXSGSQS,1536,197,BNSCSXOJWAFTTVS
K,R_NFT36,384,NDGVSOYSBRMIQLD,2597,112,INOMZYINCCISUCQ
F,T_xEfV1,377,UHIWXYBDZCQDMBW,2775,162,KAQZSSKPPWRORYW
A,X_10fMM,940,XQCNPCOHYWSQVFY,1843,181,CBKMUWJEKWNROTY
H,O_Um421,595,TBAWQGLWABDNIIX,4519,209,OXMMZOZDYYWVGJG
K,R_NFT36,177,MZXEXJZPBWCTOXL,4647,215,QWJKGTTBATEWAHN
E,K_12M34,136,ABVXFPLEMVOTBRQ,1349,179,PKOSWZVLMXMTLZW
K,R_NFT36,16,KAMABLMDNQXPNDU,2892,149,BGRMWMMUMEFOBGL
F,T_xEfV1,582,VIYZJRMURLLANOL,1967,171,WOTRJPNMGQSJCKW
H,O_Um421,20,ILQLMBISHNQTVFK,1254,181,CBKMUWJEKWNROTY
A,X_10fMM,441,IYRXKIAZTRFRADI,1794,162,KAQZSSKPPWRORYW
H,O_Um421,662,ODFURYFINNMQPUJ,3379,149,BGRMWMMUMEFOBGL
E,K_12M34,368,HXUBRLHKGOBUJKR,3388,179,PKOSWZVLMXMTLZW
C,X_MM42e,307,ILISBJAVSODTASL,4843,198,UHNHONUHHZTFLGT
D,Y_A13Fm,379,TUHOMJTPLRKEYQA,4625,208,DPQLFVEHBGGKXGX
F,T_xEfV1,725,PXGPTCHULHWPELF,3509,149,BGRMWMMUMEFOBGL
G,U_oAo12,240,CFSPXFBIYSITKUE,3075,208,DPQLFVEHBGGKXGX
C,X_MM42e,822,SKVFPHPLCMNHQPE,1224,179,PKOSWZVLMXMTLZW
F,T_xEfV1,100,KHVFQKBBTJPBMQP,2111,149,BGRMWMMUMEFOBGL
A,X_10fMM,672,LTFQSCEYRBVKUAP,2456,153,OLNSTYUIIIGYSSL
D,Y_A13Fm,546,AASZXWXFJTNTKNX,2872,181,CBKMUWJEKWNROTY
K,R_NFT36,81,ODZTDFJYPUEVZXZ,2562,179,PKOSWZVLMXMTLZW
G,U_oAo12,929,MZZSOCSUGSTUXPF,3297,197,BNSCSXOJWAFTTVS
A,X_10fMM,149,LFUFLBFHQUOERLG,4878,215,QWJKGTTBATEWAHN
E,K_12M34,699,MIYDBATFLODBRRA,1665,153,OLNSTYUIIIGYSSL
G,U_oAo12,27,FCHGPOTLBXXKTOB,1283,209,OXMMZOZDYYWVGJG
B,T_Fe134,889,GMPOFQSNXAFECJD,2328,162,KAQZSSKPPWRORYW
E,K_12M34,810,PGYACUGIRYNMCBE,2459,179,PKOSWZVLMXMTLZW
G,U_oAo12,647,PNAWBSQVYHBMFPO,1434,171,WOTRJPNMGQSJCKW
G,U_oAo12,606,RRRGXLFJSGOHCYW,3579,112,INOMZYINCCISUCQ
K,R_NFT36,125,RVFYFMPWBZNWCQK,2342,171,WOTRJPNMGQSJCKW
D,Y_A13Fm,289,QRSBLITQOKOCXNM,3526,112,INOMZYINCCISUCQ
K,R_NFT36,662,ODFURYFINNMQPUJ,1738,181,CBKMUWJEKWNROTY
B,T_Fe134,568,HFPDEYWZGYHHSJP,1692,174,JIBGCETMMPEQHUC
C,X_MM42e,760,AIUYMMHXMPOYHJJ,3202,149,BGRMWMMUMEFOBGL
D,Y_A13Fm,150,EPGRUBMPZPBYLHC,4630,179,PKOSWZVLMXMTLZW
F,T_xEfV1,952,VURNASZCCMBGFMH,1397,208,DPQLFVEHBGGKXGX
K,R_NFT36,729,LJGOQBMPLTAWZHD,2822,179,PKOSWZVLMXMTLZW
C,X_MM42e,674,AFNIOPRUNAKVQOO,2428,179,PKOSWZVLMXMTLZW
B,T_Fe134,583,QDMHXFMKFQWMNUF,3780,210,LCZQWSYFTCTBQUI
F,T_xEfV1,16,KAMABLMDNQXPNDU,2188,208,DPQLFVEHBGGKXGX
C,X_MM42e,149,LFUFLBFHQUOERLG,2712,209,OXMMZOZDYYWVGJG
E,K_12M34,785,RPCNHBECGNSCRLO,2358,162,KAQZSSKPPWRORYW
G,U_oAo12,729,LJGOQBMPLTAWZHD,2637,149,BGRMWMMUMEFOBGL
G,U_oAo12,177,MZXEXJZPBWCTOXL,3206,153,OLNSTYUIIIGYSSL
C,X_MM42e,647,PNAWBSQVYHBMFPO,1328,149,BGRMWMMUMEFOBGL
E,K_12M34,295,EDJEGYBIQYVBXOA,2865,149,BGRMWMMUMEFOBGL
E,K_12M34,469,GCCIJFZZLUSNZKR,4402,215,QWJKGTTBATEWAHN
C,X_MM42e,725,PXGPTCHULHWPELF,4401,209,OXMMZOZDYYWVGJG
G,U_oAo12,967,SHRIEJKCRXAXKPY,4302,209,OXMMZOZDYYWVGJG
G,U_oAo12,952,VURNASZCCMBGFMH,4075,197,BNSCSXOJWAFTTVS
E,K_12M34,650,UWIGXJDOHPGZKOC,1479,171,WOTRJPNMGQSJCKW
H,O_Um421,755,XIBUOKRQGJCFFMG,1015,121,WWICVCDUHUKZAWN
H,O_Um421,60,QEBBIPDXWRCHGSK,1643,197,BNSCSXOJWAFTTVS
H,O_Um421,54,EYDZXNGJGPZNZVI,4000,149,BGRMWMMUMEFOBGL
C,X_MM42e,568,HFPDEYWZGYHHSJP,4881,208,DPQLFVEHBGGKXGX
A,X_10fMM,826,GJBZRUMIQLQFNCZ,2395,121,WWICVCDUHUKZAWN
C,X_MM42e,113,JXFGSVBQNNEUMCJ,4740,179,PKOSWZVLMXMTLZW
B,T_Fe134,35,PSSVRABNAOGNKCP,2431,198,UHNHONUHHZTFLGT
A,X_10fMM,674,AFNIOPRUNAKVQOO,1859,209,OXMMZOZDYYWVGJG
K,R_NFT36,760,AIUYMMHXMPOYHJJ,3777,121,WWICVCDUHUKZAWN
E,K_12M34,289,QRSBLITQOKOCXNM,3717,149,BGRMWMMUMEFOBGL
H,O_Um421,136,ABVXFPLEMVOTBRQ,1640,198,UHNHONUHHZTFLGT
D,Y_A13Fm,136,ABVXFPLEMVOTBRQ,1373,171,WOTRJPNMGQSJCKW
K,R_NFT36,758,CDSHIUCJMSVSCEJ,2415,179,PKOSWZVLMXMTLZW
K,R_NFT36,54,EYDZXNGJGPZNZVI,4768,149,BGRMWMMUMEFOBGL
K,R_NFT36,929,MZZSOCSUGSTUXPF,1497,121,WWICVCDUHUKZAWN
G,U_oAo12,159,KBCJRMNZUDVGIQH,1985,171,WOTRJPNMGQSJCKW
C,X_MM42e,443,LLWUUQCYEXLUAIB,4522,208,DPQLFVEHBGGKXGX
A,X_10fMM,289,QRSBLITQOKOCXNM,3275,149,BGRMWMMUMEFOBGL
C,X_MM42e,546,AASZXWXFJTNTKNX,3923,197,BNSCSXOJWAFTTVS
E,K_12M34,659,SDHVERSRFEVGPNA,1613,210,LCZQWSYFTCTBQUI
G,U_oAo12,347,PAVNWKHMTBVVNWB,1720,162,KAQZSSKPPWRORYW
H,O_Um421,562,VNGWSFSNSIAFCGD,2934,198,UHNHONUHHZTFLGT
A,X_10fMM,47,GVWFISHPCDXNRVU,1885,208,DPQLFVEHBGGKXGX
D,Y_A13Fm,458,DZGZSRGUYGDHDIX,3410,162,KAQZSSKPPWRORYW
E,K_12M34,419,OHXGDSVDHPGJGAO,1728,215,QWJKGTTBATEWAHN
G,U_oAo12,672,LTFQSCEYRBVKUAP,4951,179,PKOSWZVLMXMTLZW
C,X_MM42e,159,KBCJRMNZUDVGIQH,2717,209,OXMMZOZDYYWVGJG
D,Y_A13Fm,142,XVRRJLDRBCRUBVU,4101,215,QWJKGTTBATEWAHN
D,Y_A13Fm,15,VCQKRGUMIWDESRW,3825,153,OLNSTYUIIIGYSSL
E,K_12M34,413,BYLODPSXBFMLHFU,3624,112,INOMZYINCCISUCQ
D,Y_A13Fm,674,AFNIOPRUNAKVQOO,3520,149,BGRMWMMUMEFOBGL
D,Y_A13Fm,441,IYRXKIAZTRFRADI,1481,210,LCZQWSYFTCTBQUI
E,K_12M34,213,AZVXUIYPGMHNZXJ,2009,171,WOTRJPNMGQSJCKW
E,K_12M34,295,EDJEGYBIQYVBXOA,2451,179,PKOSWZVLMXMTLZW
H,O_Um421,289,QRSBLITQOKOCXNM,2713,174,JIBGCETMMPEQHUC
K,R_NFT36,100,KHVFQKBBTJPBMQP,2684,197,BNSCSXOJWAFTTVS
E,K_12M34,148,NOCWJPTSKUMKXVK,4988,121,WWICVCDUHUKZAWN
D,Y_A13Fm,27,FCHGPOTLBXXKTOB,4224,171,WOTRJPNMGQSJCKW
F,T_xEfV1,582,VIYZJRMURLLANOL,4613,209,OXMMZOZDYYWVGJG
G,U_oAo12,35,PSSVRABNAOGNKCP,1452,198,UHNHONUHHZTFLGT
D,Y_A13Fm,760,AIUYMMHXMPOYHJJ,4873,174,JIBGCETMMPEQHUC
E,K_12M34,967,SHRIEJKCRXAXKPY,3447,112,INOMZYINCCISUCQ
A,X_10fMM,842,GSZBCXTCEOPTAFO,1598,174,JIBGCETMMPEQHUC
E,K_12M34,377,UHIWXYBDZCQDMBW,2695,174,JIBGCETMMPEQHUC
B,T_Fe134,647,PNAWBSQVYHBMFPO,1656,153,OLNSTYUIIIGYSSL
D,Y_A13Fm,14,OOMARJWTOWJFXLM,3917,149,BGRMWMMUMEFOBGL
B,T_Fe134,822,SKVFPHPLCMNHQPE,1640,215,QWJKGTTBATEWAHN
K,R_NFT36,96,TDGZPEQTLFGJQCV,4914,210,LCZQWSYFTCTBQUI
A,X_10fMM,582,VIYZJRMURLLANOL,1121,112,INOMZYINCCISUCQ
D,Y_A13Fm,672,LTFQSCEYRBVKUAP,4032,181,CBKMUWJEKWNROTY
H,O_Um421,159,KBCJRMNZUDVGIQH,2755,210,LCZQWSYFTCTBQUI
K,R_NFT36,491,HWIQNNMEKJRBPGP,2123,198,UHNHONUHHZTFLGT
F,T_xEfV1,289,QRSBLITQOKOCXNM,1718,153,OLNSTYUIIIGYSSL
D,Y_A13Fm,712,IKOPSJGARBTCQLY,1810,174,JIBGCETMMPEQHUC
G,U_oAo12,492,FBBYTXBZSXXEFLG,3937,197,BNSCSXOJWAFTTVS
B,T_Fe134,697,GHVMMFKKKMDGWBO,1782,162,KAQZSSKPPWRORYW
K,R_NFT36,125,RVFYFMPWBZNWCQK,4970,215,QWJKGTTBATEWAHN
E,K_12M34,662,ODFURYFINNMQPUJ,1620,179,PKOSWZVLMXMTLZW
H,O_Um421,337,GWZQDWLWEPCDWMX,2564,210,LCZQWSYFTCTBQUI
C,X_MM42e,413,BYLODPSXBFMLHFU,3379,162,KAQZSSKPPWRORYW
B,T_Fe134,15,VCQKRGUMIWDESRW,2517,181,CBKMUWJEKWNROTY
K,R_NFT36,379,TUHOMJTPLRKEYQA,1110,197,BNSCSXOJWAFTTVS
H,O_Um421,54,EYDZXNGJGPZNZVI,3023,209,OXMMZOZDYYWVGJG
A,X_10fMM,827,HBCWMFSNHTNNSOF,4551,121,WWICVCDUHUKZAWN
G,U_oAo12,659,SDHVERSRFEVGPNA,2429,210,LCZQWSYFTCTBQUI
F,T_xEfV1,100,KHVFQKBBTJPBMQP,3564,208,DPQLFVEHBGGKXGX
H,O_Um421,240,CFSPXFBIYSITKUE,4619,149,BGRMWMMUMEFOBGL
K,R_NFT36,177,MZXEXJZPBWCTOXL,1693,174,JIBGCETMMPEQHUC
H,O_Um421,523,MLBHTRWIKRCOCYV,1418,174,JIBGCETMMPEQHUC
B,T_Fe134,159,KBCJRMNZUDVGIQH,2184,149,BGRMWMMUMEFOBGL
D,Y_A13Fm,149,LFUFLBFHQUOERLG,4157,198,UHNHONUHHZTFLGT
C,X_MM42e,712,IKOPSJGARBTCQLY,4870,149,BGRMWMMUMEFOBGL
F,T_xEfV1,91,RALPDQBXBDJTNPW,4067,149,BGRMWMMUMEFOBGL
F,T_xEfV1,443,LLWUUQCYEXLUAIB,2930,181,CBKMUWJEKWNROTY
D,Y_A13Fm,177,MZXEXJZPBWCTOXL,2507,208,DPQLFVEHBGGKXGX
K,R_NFT36,38,IORHSTMRDEJEBPU,1760,181,CBKMUWJEKWNROTY
E,K_12M34,595,TBAWQGLWABDNIIX,3798,162,KAQZSSKPPWRORYW
E,K_12M34,163,WJEQCQKJKVCRYMJ,2715,215,QWJKGTTBATEWAHN
H,O_Um421,27,FCHGPOTLBXXKTOB,2352,179,PKOSWZVLMXMTLZW
K,R_NFT36,377,UHIWXYBDZCQDMBW,4678,153,OLNSTYUIIIGYSSL
F,T_xEfV1,940,XQCNPCOHYWSQVFY,3004,112,INOMZYINCCISUCQ
E,K_12M34,240,CFSPXFBIYSITKUE,2709,174,JIBGCETMMPEQHUC
E,K_12M34,177,MZXEXJZPBWCTOXL,3215,171,WOTRJPNMGQSJCKW
K,R_NFT36,669,NOQPNJDENANCVAR,4949,209,OXMMZOZDYYWVGJG
K,R_NFT36,760,AIUYMMHXMPOYHJJ,3063,181,CBKMUWJEKWNROTY
A,X_10fMM,826,GJBZRUMIQLQFNCZ,2716,162,KAQZSSKPPWRORYW
E,K_12M34,149,LFUFLBFHQUOERLG,4836,197,BNSCSXOJWAFTTVS
A,X_10fMM,379,TUHOMJTPLRKEYQA,1952,162,KAQZSSKPPWRORYW
H,O_Um421,838,ZLOCESNXHIZOOUL,3955,208,DPQLFVEHBGGKXGX
F,T_xEfV1,755,XIBUOKRQGJCFFMG,1438,162,KAQZSSKPPWRORYW
F,T_xEfV1,583,QDMHXFMKFQWMNUF,4222,174,JIBGCETMMPEQHUC
G,U_oAo12,337,GWZQDWLWEPCDWMX,4460,209,OXMMZOZDYYWVGJG
C,X_MM42e,413,BYLODPSXBFMLHFU,1903,121,WWICVCDUHUKZAWN
E,K_12M34,469,GCCIJFZZLUSNZKR,3255,197,BNSCSXOJWAFTTVS
B,T_Fe134,91,RALPDQBXBDJTNPW,3879,153,OLNSTYUIIIGYSSL
G,U_oAo12,952,VURNASZCCMBGFMH,2248,171,WOTRJPNMGQSJCKW
E,K_12M34,27,FCHGPOTLBXXKTOB,4301,153,OLNSTYUIIIGYSSL
B,T_Fe134,177,MZXEXJZPBWCTOXL,2305,112,INOMZYINCCISUCQ
C,X_MM42e,582,VIYZJRMURLLANOL,2613,215,QWJKGTTBATEWAHN
H,O_Um421,177,MZXEXJZPBWCTOXL,4090,181,CBKMUWJEKWNROTY
D,Y_A13Fm,606,RRRGXLFJSGOHCYW,4649,171,WOTRJPNMGQSJCKW
K,R_NFT36,458,DZGZSRGUYGDHDIX,3926,208,DPQLFVEHBGGKXGX
A,X_10fMM,523,MLBHTRWIKRCOCYV,1852,198,UHNHONUHHZTFLGT
F,T_xEfV1,712,IKOPSJGARBTCQLY,1011,209,OXMMZOZDYYWVGJG
F,T_xEfV1,441,IYRXKIAZTRFRADI,4165,181,CBKMUWJEKWNROTY
K,R_NFT36,47,GVWFISHPCDXNRVU,1510,174,JIBGCETMMPEQHUC
H,O_Um421,940,XQCNPCOHYWSQVFY,1678,171,WOTRJPNMGQSJCKW
G,U_oAo12,725,PXGPTCHULHWPELF,3545,197,BNSCSXOJWAFTTVS
E,K_12M34,568,HFPDEYWZGYHHSJP,3618,209,OXMMZOZDYYWVGJG
H,O_Um421,15,VCQKRGUMIWDESRW,2309,121,WWICVCDUHUKZAWN
E,K_12M34,47,GVWFISHPCDXNRVU,4225,121,WWICVCDUHUKZAWN
E,K_12M34,337,GWZQDWLWEPCDWMX,4782,121,WWICVCDUHUKZAWN
C,X_MM42e,550,JHDHDSBRIXPFYZF,3363,215,QWJKGTTBATEWAHN
A,X_10fMM,149,LFUFLBFHQUOERLG,1133,112,INOMZYINCCISUCQ
K,R_NFT36,755,XIBUOKRQGJCFFMG,3869,210,LCZQWSYFTCTBQUI
K,R_NFT36,49,CPIEOLOBXRARHBO,2506,198,UHNHONUHHZTFLGT
H,O_Um421,60,QEBBIPDXWRCHGSK,3700,112,INOMZYINCCISUCQ
D,Y_A13Fm,674,AFNIOPRUNAKVQOO,2208,112,INOMZYINCCISUCQ
D,Y_A13Fm,699,MIYDBATFLODBRRA,2385,197,BNSCSXOJWAFTTVS
B,T_Fe134,390,CHVNCVKDEMWMRPE,3711,181,CBKMUWJEKWNROTY
D,Y_A13Fm,785,RPCNHBECGNSCRLO,1383,174,JIBGCETMMPEQHUC
F,T_xEfV1,64,WWDVEEYMDMTQDAH,4649,215,QWJKGTTBATEWAHN
K,R_NFT36,60,QEBBIPDXWRCHGSK,2587,198,UHNHONUHHZTFLGT
B,T_Fe134,15,VCQKRGUMIWDESRW,4806,112,INOMZYINCCISUCQ
K,R_NFT36,84,HLLIUTIMRUMRQDK,2218,197,BNSCSXOJWAFTTVS
H,O_Um421,729,LJGOQBMPLTAWZHD,3167,197,BNSCSXOJWAFTTVS
A,X_10fMM,377,UHIWXYBDZCQDMBW,2795,197,BNSCSXOJWAFTTVS
F,T_xEfV1,697,GHVMMFKKKMDGWBO,2701,174,JIBGCETMMPEQHUC
G,U_oAo12,990,JAHPMDXMTWJIEDT,3217,215,QWJKGTTBATEWAHN
A,X_10fMM,546,AASZXWXFJTNTKNX,3532,197,BNSCSXOJWAFTTVS
E,K_12M34,967,SHRIEJKCRXAXKPY,1866,171,WOTRJPNMGQSJCKW
A,X_10fMM,16,KAMABLMDNQXPNDU,4045,181,CBKMUWJEKWNROTY
A,X_10fMM,838,ZLOCESNXHIZOOUL,1352,174,JIBGCETMMPEQHUC
C,X_MM42e,523,MLBHTRWIKRCOCYV,4184,162,KAQZSSKPPWRORYW
H,O_Um421,149,LFUFLBFHQUOERLG,3470,112,INOMZYINCCISUCQ
F,T_xEfV1,810,PGYACUGIRYNMCBE,3057,153,OLNSTYUIIIGYSSL
B,T_Fe134,990,JAHPMDXMTWJIEDT,1933,112,INOMZYINCCISUCQ
H,O_Um421,550,JHDHDSBRIXPFYZF,3704,197,BNSCSXOJWAFTTVS
D,Y_A13Fm,60,QEBBIPDXWRCHGSK,1269,171,WOTRJPNMGQSJCKW
G,U_oAo12,669,NOQPNJDENANCVAR,3802,112,INOMZYINCCISUCQ
